;index;conta_bancaria;descricao;valor;conta_debito;conta_credito
250;604;004905;PAGTO DEBITO EM C/C - SURGIC DISTRIBUIDORA E IMPOR - DEB C/C- 148969-1;1858,10;;
251;605;004905;PAGTO DEBITO EM C/C - SERVICO AUTONOMO DE AGUA E E - DEB C/C- 152940-1;5446,76;;
252;606;004905;PAGTO DEBITO EM C/C - SERVICO AUTONOMO DE AGUA E E - DEB C/C- 152943-1;70250,81;;
253;593;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18577;774,72;;
254;768;004905;03 TED - 03 TED;10,92;;
255;769;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 17406;433,46;;
256;770;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 17735;271,15;;
257;932;004905;PAGTO DEBITO EM C/C - DS#IMPOSTO] NICACIO E CARVAL - DEB C/C- 151770-1;181,67;;
258;933;004905;PAGTO DEBITO EM C/C - DS#IMPOSTO] J C BALDIM SERVI - DEB C/C- 151793-1;211,84;;
259;934;004905;PAGTO DEBITO EM C/C - DS#IMPOSTO] J C BALDIM SERVI - DEB C/C- 151794-1;79,44;;
260;935;004905;PAGTO DEBITO EM C/C - DS#IMPOSTO] J C BALDIM SERVI - DEB C/C- 151795-1;246,26;;
261;936;004905;PAGTO DEBITO EM C/C - DS#IMPOSTO] DANIELE F F SERV - DEB C/C- 151801-1;23,88;;
